set_id,compound_id,compound_number,name,smiles,inchi,formula,charge,mode,carboxyl_count,hydroxyl_count,other_fg,nom_like_flag,source,pubchem_cid,comment,mass_val,H_C,O_C,nom_like_flag_vk,nom_like_flag_combined
set_01,PC00001,1,"butanedioic acid;1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidin-4-ol",CC1(CC(CC(N1CCO)(C)C)O)C.C(CC(=O)O)C(=O)O,,C15H29NO6,0,neg,2,4,,True,PubChem,172473,NOM-like candidate (random CID),,1.9333333333333333,0.4,False,False
set_01,PC00002,2,2-(1-carboxyethylamino)propanoic acid,CC(C(=O)O)NC(C)C(=O)O,,C6H11NO4,0,neg,2,2,,True,PubChem,439943,NOM-like candidate (random CID),,1.8333333333333333,0.6666666666666666,False,False
set_01,PC00003,3,2-cyano-2-(1-methylpiperidin-4-ylidene)acetic acid,CN1CCC(=C(C#N)C(=O)O)CC1,,C9H12N2O2,0,neg,1,1,,True,PubChem,434854,NOM-like candidate (random CID),,1.3333333333333333,0.2222222222222222,True,True
set_01,PC00004,4,2-cyclopent-2-en-1-ylacetic acid,C1CC(C=C1)CC(=O)O,,C7H10O2,0,neg,1,1,,True,PubChem,96216,NOM-like candidate (random CID),,1.4285714285714286,0.2857142857142857,True,True
set_01,PC00005,5,3-hydroxy-2-[(2-methylpropan-2-yl)oxycarbonylamino]propanoic acid,CC(C)(C)OC(=O)NC(CO)C(=O)O,,C8H15NO5,0,neg,1,2,,True,PubChem,294907,NOM-like candidate (random CID),,1.875,0.625,False,False
set_01,PC00006,6,"(4R)-4-[(8R,9S,10S,13R,14S,17S)-3,7-dihydroxy-10,13-dimethyl-7-propyl-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",CCCC1(CC2CC(CCC2(C3C1C4CCC(C4(CC3)C)C(C)CCC(=O)O)C)O)O,,C27H46O4,0,neg,1,3,,True,PubChem,130241,NOM-like candidate (random CID),,1.7037037037037037,0.14814814814814814,False,False
set_01,PC00009,9,3-(4-hydroxyphenyl)-2-pyrrol-1-ylpropanoic acid,C1=CN(C=C1)C(CC2=CC=C(C=C2)O)C(=O)O,,C13H13NO3,0,neg,1,2,,True,PubChem,184460,NOM-like candidate (random CID),,1.0,0.23076923076923078,True,True
set_01,PC00010,10,2-acetamido-3-hydroxy-4-methylbenzoic acid,CC1=C(C(=C(C=C1)C(=O)O)NC(=O)C)O,,C10H11NO4,0,neg,1,2,,True,PubChem,257749,NOM-like candidate (random CID),,1.1,0.4,True,True
set_01,PC00011,11,2-[[(2S)-1-[[(2S)-1-[[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-cyclohexyl-1-oxopropan-2-yl]carbamoyl]cyclopentene-1-carboxylic acid,CC(C)CC(C(=O)N)NC(=O)C(CC(=O)O)NC(=O)C(CC1CCCCC1)NC(=O)C2=C(CCC2)C(=O)O,,C26H40N4O8,0,neg,2,2,,True,PubChem,493901,NOM-like candidate (random CID),,1.5384615384615385,0.3076923076923077,False,False
set_01,PC00012,12,"2,2,6,6-tetramethylpiperidine-4-carboxylic acid",CC1(CC(CC(N1)(C)C)C(=O)O)C,,C10H19NO2,0,neg,1,1,,True,PubChem,103446,NOM-like candidate (random CID),,1.9,0.2,False,False
set_01,PC00013,13,"2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]-5,5-dihydroxypentanoic acid",C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(O)O)C(=O)O,,C20H25N7O7,0,neg,1,3,,True,PubChem,461309,NOM-like candidate (random CID),,1.25,0.35,True,True
