mass;intensity;brutto;N_COOH;N_OH;missing_dmet;missing_dacet
131.04624109892617;1000.0;C4H8O3N2;1;0;[];
132.0301773296549;1000.0;C4H7O4N;2;0;[];
137.02443746825023;1000.0;C7H6O3;1;0;[];
146.08229220152623;1000.0;C6H13O3N;1;0;[];
160.06158941690796;1000.0;C6H11O4N;2;0;[];
183.02996154480448;1000.0;C8H8O5;2;0;[];
184.1342984692276;1000.0;C10H19O2N;1;0;[];
194.04590088651943;1000.0;C9H9O4N;1;0;[];
208.09787872570132;1000.0;C11H15O3N;1;1;[];[]
209.08194490271453;1000.0;C11H14O4;1;1;[];[]
220.1091401306253;1000.0;C11H15O2N3;1;0;[];
223.07243350456477;1000.0;C10H12O4N2;1;1;[];[]
229.08700809845203;1000.0;C14H14O3;1;0;[];
235.09757561860943;1000.0;C13H16O4;2;0;[];
261.1496738080265;1000.0;C16H22O3;1;0;[];
270.0771243439287;1000.0;C15H13O4N;1;0;[];
287.1976686355916;1000.0;C14H28O4N2;2;0;[];
291.21782138505915;1000.0;C15H32O5;1;3;[];[]
304.057518778256;1000.0;C13H11O6N3;1;1;[];[]
348.19282021362886;1000.0;C18H27O4N3;1;0;[];
371.15001869417017;1000.0;C21H24O6;2;2;[];[]
389.2696895472653;1000.0;C24H38O4;1;1;[];[]
398.3638448713475;1000.0;C24H49O3N;1;1;[];[]
424.1765229468936;1000.0;C23H21ON8;1;0;[];
426.13068600086046;1000.0;C21H21O7N3;1;0;[];
438.0941020275236;1000.0;C21H17O8N3;3;0;[];
440.132316549913;1000.0;C19H19O6N7;2;0;[];
442.17707733725774;1000.0;C26H25O4N3;1;0;[];
448.1415324405785;1000.0;C26H19O3N5;1;0;[];
499.1834325417969;1000.0;C24H28O8N4;2;0;[];
530.3125428197213;1000.0;C30H45O7N;1;3;[];[]
