mass;intensity;brutto;N_COOH;N_OH_total;N_OH;missing_dmet;missing_dacet
100.0524340007764;1000.0;C5H8O2;1;1;1;[];[]
142.09937969534977;1000.0;C8H14O2;1;0;0;[];
147.05314050890092;1000.0;C5H9O4N;2;2;2;[];[]
167.0583028041416;1000.0;C8H9O3N;1;0;0;[];
167.06949762792752;1000.0;C7H9O2N3;1;1;1;[];[]
184.1463463289158;1000.0;C11H20O2;1;1;1;[];[]
189.0537410255762;1000.0;C9H7O2N3;1;0;0;[];
204.12227686437737;1000.0;C7H16O3N4;1;1;1;[];[]
220.07366337962983;1000.0;C12H12O4;1;1;1;[];[]
225.0749328492638;1000.0;C9H11O4N3;1;2;2;[];[]
237.1000751401365;1000.0;C12H15O4N;1;1;1;[];[]
275.18847410589467;1000.0;C17H25O2N;1;1;1;[];[]
288.13621950713014;1000.0;C17H20O4;1;1;1;[];[]
291.14306139493056;1000.0;C11H21O6N3;2;3;3;[];[]
305.1586861703505;1000.0;C12H23O6N3;2;3;3;[];[]
321.1113434931498;1000.0;C18H15O3N3;1;1;1;[];[]
327.081494623117;1000.0;C11H13O7N5;1;4;4;[];[]
359.14808057013164;1000.0;C18H21O5N3;1;1;1;[];[]
382.2719234111382;1000.0;C22H38O5;1;3;3;[];[]
384.18964113127726;1000.0;C18H28O7N2;2;2;2;[];[]
400.19456746500384;1000.0;C16H32O11;2;8;8;[];[3, 4]
409.1888975911052;1000.0;C24H27O5N;1;1;1;[];[]
443.2670220189874;1000.0;C26H37O5N;1;2;2;[];[]
451.2179371153033;1000.0;C20H35O11;1;2;2;[];[]
473.1658891938735;1000.0;C21H29O12;2;2;2;[];[]
482.2781218172999;1000.0;C28H38O5N2;2;2;2;[];[]
483.18654830169567;1000.0;C23H31O11;2;2;2;[];[]
520.2786686672217;1000.0;C27H40O8N2;2;1;1;[];[]
536.2846001572243;1000.0;C26H40O8N4;2;2;2;[];[]
542.3972906202879;1000.0;C34H54O5;1;2;2;[];[]
