mass,intensity
204.34712,16246.0
217.3371,6411.0
217.76473,19701.0
232.50195,31686.0
241.53395,43132.0
254.60634,10512.0
267.27336,12337.0
281.69055,2271.0
291.79547,3605.0
297.43359,25408.0
299.42972,31980.0
305.92165,27973.0
316.11144,512216.0
318.04319,34488.0
330.12748,1935105.0
344.10678,2047548.0
350.31981,43653.0
355.18392,34395.0
356.99649,6457.0
358.1219,3244751.0
359.37369,76671.0
361.14118,219416.0
366.09108,2039689.0
374.11721,1277130.0
375.15703,1453230.0
378.1088,453.0
386.11726,1753548.0
389.13601,1124538.0
392.10686,1808720.0
399.44155,19286.0
403.15126,2143515.0
406.1705,467291.0
408.10162,1332075.0
411.12058,1326790.0
419.14647,776234.0
420.18627,515146.0
428.12734,1697467.0
431.14653,475984.0
434.1653,547848.0
437.04163,775.0
437.13582,1655688.0
437.40424,48098.0
437.41906,42433.0
440.16472,920561.0
444.60481,30455.0
444.70002,8084.0
448.18115,1182866.0
450.11257,732586.0
451.19972,102522.0
453.1311,1080395.0
455.17226,4297.0
456.14991,385271.0
464.1759,743222.0
465.21564,861609.0
473.15712,817941.0
476.12834,2408842.0
482.16532,460201.0
484.0421,3850.0
485.19352,862155.0
493.21048,896848.0
495.81983,40616.0
498.01731,110858.0
498.16039,1306294.0
501.17902,555395.0
503.12432,8490.0
507.56245,3699.0
508.11724,1448054.0
509.20541,329304.0
510.24555,553457.0
518.13835,1734946.0
518.18653,987430.0
521.15753,903070.0
521.20482,407072.0
524.22381,144263.0
527.19522,570840.0
530.22321,166252.0
538.24001,291266.0
540.17085,445712.0
543.18992,815097.0
546.20827,336700.0
550.59032,8262.0
553.14668,1079345.0
554.23469,113444.0
556.15472,2810631.0
563.16777,1152119.0
563.2161,780854.0
566.18706,673705.0
571.5748,24584.0
572.21211,52713.0
572.22406,491246.0
575.25231,160068.0
585.20037,135989.0
588.21898,176905.0
598.1649,1385172.0
598.17595,1063668.0
599.13171,35659.0
601.18353,752681.0
608.19705,559916.0
608.24508,593918.0
611.21655,398487.0
616.13852,3198899.0
620.28127,88470.0
621.17281,1568379.0
629.02889,16131.0
630.2301,136617.0
636.26754,71758.0
643.19459,612829.0
643.2061,315242.0
646.21373,689781.0
653.22684,523518.0
653.27406,123623.0
656.24556,234769.0
658.97467,17451.0
661.16839,1728134.0
665.31171,52258.0
666.20276,576064.0
673.38635,29953.0
675.2592,116104.0
688.22388,212942.0
688.23503,339823.0
689.4915,2677.0
698.25652,395591.0
701.17398,39397.0
701.27508,238446.0
706.19734,1009750.0
710.34075,77437.0
711.23153,350921.0
714.61764,9359.0
733.25289,388724.0
733.2645,323019.0
734.85301,13644.0
736.27212,439213.0
743.09904,46886.0
743.28571,205973.0
751.2267,859681.0
755.15426,32379.0
756.26141,413602.0
778.28323,284453.0
778.29389,130634.0
781.30183,279173.0
788.31498,113281.0
796.25619,337898.0
801.29144,125848.0
823.31263,186622.0
823.32271,49155.0
841.2853,125590.0
841.4604,5938.0
846.32043,160038.0
858.13202,11220.0
858.79103,46874.0
865.82747,27615.0
868.34205,133700.0
872.37464,16584.0
881.41959,30173.0
886.31473,229917.0
891.35002,105996.0
894.90904,5622.0
