mass,intensity
200.42699,5535.0
209.10249,223546.0
210.63111,18010.0
219.78365,33609.0
222.10816,41842.0
223.11831,1061100.0
223.79468,45397.0
226.43168,8369.0
227.09242,248178.0
237.09721,246811.0
239.66279,9330.0
241.10831,583872.0
243.08742,132834.0
251.11293,560394.0
253.0716,181308.0
253.87681,51036.0
254.8845,100959.0
255.08734,523210.0
257.1033,1131711.0
259.0821,193145.0
267.08774,400443.0
267.10799,589175.0
268.78414,13337.0
269.10303,1059068.0
270.45532,9127.0
271.08232,1508081.0
271.08237,752441.0
276.92027,38735.0
277.07194,446115.0
278.1946,23430.0
279.10794,385504.0
281.06651,432532.0
282.79406,31450.0
284.91086,43267.0
285.09754,802503.0
285.09793,639749.0
285.098,815714.0
285.09836,4356196.0
285.63692,7770.0
286.07131,61798.0
288.31917,25696.0
293.06724,811502.0
295.08235,724507.0
297.09794,635122.0
299.07731,2617048.0
301.0927,644938.0
301.09282,770027.0
303.05094,281215.0
303.08752,332706.0
304.07386,38630.0
305.92287,30621.0
308.2787,8220.0
311.07735,419510.0
313.09275,631768.0
313.09294,4461026.0
315.63343,41496.0
319.08225,401533.0
319.08271,287935.0
321.06156,2865219.0
321.11858,923619.0
323.07726,238535.0
325.89985,7082.0
328.15888,9564.0
329.06686,1157421.0
329.08795,2782174.0
333.15536,398497.0
335.07751,1147709.0
339.10831,347768.0
341.0876,2928548.0
342.94785,2368.0
343.10307,649466.0
344.30347,14544.0
345.06181,1162709.0
347.07738,4267583.0
351.14534,433482.0
354.14779,13460.0
355.10335,357579.0
357.16727,2032.0
361.09282,447321.0
363.07234,3901570.0
365.08745,471642.0
367.13999,258995.0
367.46243,4297.0
369.09361,9270.0
369.11875,203472.0
377.08782,455835.0
377.12459,232397.0
379.4918,2250.0
383.09859,4223530.0
387.07228,497755.0
387.10895,238312.0
387.98238,33627.0
390.4367,17357.0
394.47683,103045.0
395.13517,1679967.0
401.1085,509029.0
403.10378,590631.0
405.08278,2208828.0
408.76739,4832.0
411.1291,774277.0
413.08815,276795.0
419.09836,789769.0
420.36351,50238.0
424.48923,3149.0
425.63805,32866.0
426.56826,22706.0
429.11947,774279.0
431.0987,3219401.0
434.30853,30593.0
435.09316,1107254.0
440.62338,8370.0
444.19403,4503.0
445.07774,584909.0
445.11443,262499.0
449.14524,725697.0
455.09875,177720.0
458.51631,29003.0
461.41593,33222.0
462.42955,40066.0
463.08824,3898997.0
467.13554,499446.0
469.13475,759392.0
470.66095,16903.0
471.8108,38192.0
473.10936,3027108.0
483.13017,768822.0
484.21311,20447.0
487.12444,894139.0
491.15605,339228.0
493.11485,649055.0
493.89005,33286.0
503.11971,838410.0
503.16413,30470.0
509.12952,635764.0
509.14598,162092.0
511.125,4367200.0
513.10395,429210.0
525.14062,212743.0
527.1198,880527.0
530.64459,31659.0
531.11474,3214385.0
531.41877,24003.0
535.12492,539296.0
543.11444,477158.0
544.11275,40604.0
549.14358,2080.0
550.03368,14341.0
553.09936,684198.0
553.13499,2267162.0
556.10558,7168.0
557.8046,14798.0
571.10918,4169065.0
574.21678,24819.0
590.23826,38435.0
596.15538,6551.0
